City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,Abu Samrah,35.3029,37.1841,92.91,18,0,7.36,SY,2022-06-29 11:55:14
247,Itaituba,-4.2761,-55.9836,73.56,94,98,0.0,BR,2022-06-29 11:50:17
248,Zheleznodorozhnyy,55.7503,38.0042,74.75,25,0,5.73,RU,2022-06-29 11:55:14
249,Thinadhoo,0.5333,72.9333,84.09,72,88,7.27,MV,2022-06-29 11:55:15
250,Hualmay,-11.0964,-77.6139,61.34,82,79,2.84,PE,2022-06-29 11:55:15
251,Djambala,-2.5447,14.7533,84.63,32,99,5.88,CG,2022-06-29 11:55:15
252,Georgetown,5.4112,100.3354,86.9,78,20,8.05,MY,2022-06-29 11:55:16
253,San Esteban,15.2,-85.75,67.59,96,43,0.45,HN,2022-06-29 11:55:16
254,Margate,51.3813,1.3862,68.88,70,99,7.0,GB,2022-06-29 11:51:22
255,Murgab,37.4966,61.9714,109.27,13,0,16.11,TM,2022-06-29 11:55:17
256,Arkhangelsk,64.5401,40.5433,64.51,27,0,8.95,RU,2022-06-29 11:55:17
257,Kaabong,3.4836,34.1492,74.37,49,45,6.44,UG,2022-06-29 11:55:17
258,Ahuimanu,21.4447,-157.8378,76.71,77,75,13.8,US,2022-06-29 11:55:18
259,Laguna,38.421,-121.4238,68.18,67,0,5.75,US,2022-06-29 11:55:18
260,Talnakh,69.4865,88.3972,65.21,45,100,4.81,RU,2022-06-29 11:55:18
261,Cajamarca,-7.1638,-78.5003,39.27,93,0,2.3,PE,2022-06-29 11:55:19
262,Fare,-16.7,-151.0167,79.27,76,4,17.38,PF,2022-06-29 11:55:19
263,Calvinia,-31.4707,19.776,62.24,31,0,8.81,ZA,2022-06-29 11:55:19
264,Port Blair,11.6667,92.75,86.04,70,75,8.05,IN,2022-06-29 11:55:20
265,Longyearbyen,78.2186,15.6401,42.64,93,75,6.91,SJ,2022-06-29 11:55:20
266,Rong Kwang,18.339,100.3174,87.28,83,100,2.59,TH,2022-06-29 11:55:20
267,Alyangula,-13.8483,136.4192,74.21,79,100,14.45,AU,2022-06-29 11:55:20
268,Mandali,33.7499,45.5541,111.4,5,0,25.52,IQ,2022-06-29 11:56:21
269,Maltahohe,-24.8333,16.9833,62.1,33,1,20.67,NA,2022-06-29 11:56:21
270,Souillac,-20.5167,57.5167,73.78,49,75,12.66,MU,2022-06-29 11:56:21
271,Tocopilla,-22.092,-70.1979,63.05,67,7,2.15,CL,2022-06-29 11:56:22
272,Pedernales,18.0384,-71.744,81.66,69,92,1.43,DO,2022-06-29 11:56:22
273,Sabang,5.8933,95.3214,83.77,72,81,27.13,ID,2022-06-29 11:56:22
274,Warmbad,-28.45,18.7333,67.01,36,0,19.66,NA,2022-06-29 11:56:23
275,Ketchikan,55.3422,-131.6461,55.67,97,100,4.16,US,2022-06-29 11:56:23
276,Solnechnyy,50.7214,136.6319,64.4,88,62,1.99,RU,2022-06-29 11:56:23
277,Isangel,-19.55,169.2667,73.27,82,77,15.37,VU,2022-06-29 11:56:24
278,San Pedro,14.35,121.0167,85.23,69,75,4.61,PH,2022-06-29 11:56:24
279,Senneterre,48.3835,-77.2328,51.46,93,98,5.03,CA,2022-06-29 11:56:24
280,Innisfail,-17.5333,146.0333,68.97,95,100,6.55,AU,2022-06-29 11:56:25
281,Tiksi,71.6872,128.8694,54.16,41,71,13.89,RU,2022-06-29 11:56:25
282,Iqaluit,63.7506,-68.5145,49.73,66,20,9.22,CA,2022-06-29 11:56:25
283,Kabanjahe,3.1001,98.4908,63.48,96,73,5.26,ID,2022-06-29 11:56:26
